Site No,Region,Site Name,County,Alt,Grid Ref,GPS Grid Ref Start,Date-V1,Date-V2,Date-V3,Date-V4,Date-V5,V1,V2,V3,V4,V5,GPS Grid ref otter,LEAP,Mink present,Easting,Northing
0001,WE,"Dulcote
River Sheppey",Somerset,30,ST553443,ST 55340 44385,01/09/1977,17/10/1984,23/10/1991,24/10/2000,04/11/2009,N,N,N,N,P,ST 55887 44664,107,P,355300,144300
0001NV ,SO,"Farlington Marshes
Coast",Hants,0,SU688034,SU 68781 03455,,,,28/11/2001,28/07/2009,O,O,O,N,N,,079,N,468800,103400
0002,WE,"Melsbury
River Sheppey",Somerset,15,ST516434,ST 51771 43298,01/09/1977,17/10/1984,23/10/1991,24/10/2001,12/11/2009,N,N,P,P,N,,107,N,351600,143400
0002NV ,SO,"Portsea Island
Coast",Hants,0,SU675033,SU 67063 04167,,,,13/12/2001,28/07/2009,O,O,O,N,N,,079,N,467500,103300
0003,WE,"Glastonbury
Rivers Rhyne and Hartlake",Somerset,10,ST508412,ST 51299 41153,01/09/1977,01/11/1984,20/10/1991,24/10/2000,04/11/2009,P,P,P,P,P,ST 51299 41153,107,N,350800,141200
0003NV ,SO,"Portchester
Coast",Hants,0,SU638010,SU 60050 05067,,,,28/11/2001,02/08/2009,O,O,O,N,N,,079,N,463800,101000
0004,WE,"West Pennard
River Whitelake",Somerset,8,ST547403,ST 54761 40330,01/09/1977,17/10/1984,23/10/1991,24/10/2000,12/11/2009,N,N,P,P,P,ST 54761 40330,107,N,354700,140300
0004NV ,SO,"IBM Lake'
Horsea Island",Hants,0,SU643036,SU 64933 04771,,,,28/11/2001,04/08/2009,O,O,O,N,N,,079,N,464300,103600
0005,WE,"North Wooton
Redlake",Somerset,25,ST576425,ST 57655 42492,01/09/1977,17/10/1984,21/10/1991,24/10/2000,05/11/2009,N,N,N,N,N,,107,N,357600,142500
0005NV  ,SO,"Portchester
Coast",Hants,0,SU626044,SU 61907 04391,,,,28/11/2001,31/07/2009,O,O,O,N,N,,079,N,462600,104400
0006,WE,"Gurney Slade 
Mells River",Somerset,160,ST640496,ST 64035 49647,01/09/1977,29/10/1984,24/10/1991,27/09/2001,04/11/2009,N,N,N,N,P,ST 64035 49647,104,N,364000,149600
0006NV ,SO,"Downend
West Portchester Coast",Hants,0,SU599033,SU 58075 05738,,,,13/12/2001,02/08/2009,O,O,O,O,N,,079,N,459900,103300
0007,WE,"Butt Moor Bridge
River Brue",Somerset,10,ST521355,ST 52131 35581,02/09/1977,16/10/1984,20/10/1991,24/10/2000,12/11/2009,N,N,N,N,P,ST 52037 35894,107,N,352100,135500
0007NV ,SO,"Langstone
Coast",Hants,0,SU714049,SU 71402 04919,,,,28/11/2001,28/07/2009,O,O,O,N,N,,079,N,471400,104900
0008,WE,"West Lyford
River Brue",Somerset,20,ST563320,ST 56342 32028,02/09/1977,16/10/1984,20/10/1991,20/09/2001,05/11/2009,N,N,N,P,P,ST 56342 32028,107,N,356300,132000
